record_id,redacted_data_json,is_pii
1,"{""customer_id"": ""CUST001"", ""phone"": ""98XXXXXX10"", ""order_value"": 1299}",true
2,"{""name"": ""RXXX KXXX"", ""email"": ""raXXX@email.com"", ""city"": ""Mumbai""}",true
3,"{""first_name"": ""Priya"", ""product"": ""iPhone 14"", ""category"": ""Electronics""}",false
4,"{""aadhar"": ""1234 XXXX 9012"", ""transaction_type"": ""purchase""}",true
5,"{""email"": ""standalone@email.com"", ""product_id"": ""PROD123""}",false
6,"{""name"": ""AXXX SXXX"", ""address"": ""[SECURE_ADDRESS]"", ""ip_address"": ""192.168.XXX.XXX""}",true
7,"{""city"": ""Delhi"", ""pin_code"": ""110001"", ""product_category"": ""Fashion""}",false
8,"{""upi_id"": ""usXXX@paytm"", ""amount"": 500}",true
9,"{""last_name"": ""Sharma"", ""order_id"": ""ORD789456""}",false
10,"{""passport"": ""PXXXXXXX"", ""booking_reference"": ""BK123""}",true
11,"{""device_id"": ""DEV456789"", ""app_version"": ""2.1.4""}",false
12,"{""name"": ""SXXX PXXX"", ""email"": ""snXXX@gmail.com"", ""device_id"": ""MOB1XXXX3456""}",true
13,"{""transaction_id"": ""TXN987654"", ""amount"": 2500, ""status"": ""completed""}",false
14,"{""phone"": ""87XXXXXX09"", ""order_date"": ""2024-01-15""}",true
15,"{""state"": ""Maharashtra"", ""product_name"": ""Laptop Bag""}",false
16,"{""name"": ""VXXX RXXX"", ""address"": ""[SECURE_ADDRESS]"", ""email"": ""viXXX@company.com""}",true
17,"{""first_name"": ""Anita"", ""last_name_initial"": ""K"", ""age"": 28}",false
18,"{""aadhar"": ""9876 XXXX 1098"", ""verification_status"": ""verified""}",true
19,"{""email"": ""customer@service.com"", ""query_type"": ""refund""}",false
20,"{""upi_id"": ""91XXX@ybl"", ""merchant"": ""Flipkart""}",true
21,"{""product_description"": ""Samsung Galaxy S23"", ""price"": 65000}",false
22,"{""name"": ""DXXX AXXX"", ""phone"": ""78XXXXXX56"", ""email"": ""deXXX@email.com""}",true
23,"{""pin_code"": ""400001"", ""delivery_date"": ""2024-02-10""}",false
24,"{""passport"": ""MXXXXXXX"", ""travel_date"": ""2024-03-15""}",true
25,"{""customer_segment"": ""Premium"", ""loyalty_points"": 1500}",false
26,"{""name"": ""RXXX GXXX"", ""address"": ""[SECURE_ADDRESS]"", ""ip_address"": ""10.0.XXX.XXX""}",true
27,"{""order_type"": ""Express"", ""shipping_method"": ""same_day""}",false
28,"{""phone"": ""67XXXXXX45"", ""sms_consent"": true}",true
29,"{""username"": ""techguru"", ""last_login"": ""2024-01-20""}",false
30,"{""aadhar"": ""4567 XXXX 3045"", ""kyc_status"": ""pending""}",true
31,"{""category"": ""Books"", ""author"": ""Chetan Bhagat""}",false
32,"{""name"": ""MXXX JXXX"", ""email"": ""meXXX@workplace.com"", ""device_type"": ""Android""}",true
33,"{""session_id"": ""SESS789123"", ""duration"": ""45 minutes""}",false
34,"{""upi_id"": ""meXXX@okaxis"", ""payment_method"": ""UPI""}",true
35,"{""region"": ""North India"", ""warehouse_code"": ""WH001""}",false
36,"{""name"": ""AXXX MXXX"", ""address"": ""[SECURE_ADDRESS]"", ""phone"": ""90XXXXXX78""}",true
37,"{""subscription_type"": ""Premium"", ""renewal_date"": ""2024-06-15""}",false
38,"{""passport"": ""LXXXXXXX"", ""country"": ""India""}",true
